w_n              t_n
61747.7450980392  24.773549
61805.3921568628  24.875292
62093.6274509804  24.977035
62045.5882352941  25.078778
62007.1568627451  25.180521
62276.1764705882  25.282264
62084.0196078431  25.384007
62160.8823529412   25.48575
62199.3137254902  25.587493
61978.3333333333  25.689236
62583.6274509804  25.790979
61901.4705882353  25.892722
62381.8627450981  25.994465
 62871.862745098  26.096208
62987.1568627451  26.197951
62468.3333333333  26.299694
62506.7647058824  26.401437
61930.2941176471   26.50318
61949.5098039216  26.604923
61968.7254901961  26.706666
61882.2549019608  26.808409
62256.9607843137  26.910152
62650.8823529412  27.011895
62862.2549019608  27.113638
 62381.862745098  27.215381
62429.9019607843  27.317124
62122.4509803922  27.418867
62535.5882352941   27.52061
           61815  27.622353
61911.0784313726  27.724096
62208.9215686275  27.825839
62199.3137254902  27.927582
 62189.705882353  28.029325
62362.6470588235  28.131068
61901.4705882353  28.232811
 62266.568627451  28.334554
62506.7647058823  28.436297
61968.7254901961   28.53804
62324.2156862745  28.639783
61949.5098039216  28.741526
61968.7254901961  28.843269
61901.4705882353  28.945012
62525.9803921569  29.046755
62141.6666666667  29.148498
62410.6862745098  29.250241
62410.6862745098  29.351984
62593.2352941176  29.453727
62333.8235294118   29.55547
61978.3333333333  29.657213
62055.1960784314  29.758956
61536.3725490196  29.860699
62525.9803921569  29.962442
62564.4117647059  30.064185
63102.4509803922  30.165928
61959.1176470588  30.267671
62074.4117647059  30.369414
61959.1176470588  30.471157
61901.4705882353    30.5729
62189.7058823529  30.674643
62151.2745098039  30.776386
62535.5882352941  30.878129
62122.4509803922  30.979872
62477.9411764706  31.081615
62045.5882352941  31.183358
62449.1176470588  31.285101
62353.0392156863  31.386844
 61699.705882353  31.488587
61805.3921568627   31.59033
61987.9411764706  31.692073
62477.9411764706  31.793816
62545.1960784314  31.895559
61863.0392156863  31.997302
62429.9019607843  32.099045
61978.3333333333  32.200788
62103.2352941176  32.302531
61968.7254901961  32.404274
62189.7058823529  32.506017
61449.9019607843   32.60776
 62228.137254902  32.709503
 62266.568627451  32.811246
62564.4117647059  32.912989
61536.3725490196  33.014732
62055.1960784314  33.116475
61920.6862745098  33.218218
62497.1568627451  33.319961
61545.9803921569  33.421704
61757.3529411765  33.523447
62132.0588235294   33.62519
62660.4901960784  33.726933
62074.4117647059  33.828676
62170.4901960784  33.930419
62468.3333333333  34.032162
62218.5294117647  34.133905
63188.9215686275  34.235648
62074.4117647059  34.337391
62189.7058823529  34.439134
62180.0980392157  34.540877
62420.2941176471   34.64262
62141.6666666667  34.744363
62843.0392156863  34.846106
62103.2352941177  34.947849
62218.5294117647  35.049592
62276.1764705882  35.151335
61930.2941176471  35.253078
62132.0588235294  35.354821
62708.5294117647  35.456564
           62305  35.558307
62122.4509803922   35.66005
62074.4117647059  35.761793
61834.2156862745  35.863536
61872.6470588235  35.965279
62112.8431372549  36.067022
61920.6862745098  36.168765
62026.3725490196  36.270508
61997.5490196078  36.372251
62007.1568627451  36.473994
61709.3137254902  36.575737
61709.3137254902   36.67748
61939.9019607843  36.779223
61872.6470588235  36.880966
62035.9803921569  36.982709
61920.6862745098  37.084452
61968.7254901961  37.186195
61421.0784313726  37.287938
61872.6470588235  37.389681
62084.0196078432  37.491424
62112.8431372549  37.593167
61718.9215686275   37.69491
62084.0196078431  37.796653
61574.8039215686  37.898396
61526.7647058824  38.000139
62035.9803921569  38.101882
61795.7843137255  38.203625
           61815  38.305368
61718.9215686274  38.407111
61766.9607843137  38.508854
62035.9803921569  38.610597
 61776.568627451   38.71234
61373.0392156863  38.814083
 61776.568627451  38.915826
61834.2156862745  39.017569
61651.6666666667  39.119312
61901.4705882353  39.221055
62189.7058823529  39.322798
61709.3137254902  39.424541
61786.1764705882  39.526284
62295.3921568628  39.628027
61757.3529411765   39.72977
62007.1568627451  39.831513
62112.8431372549  39.933256
 61738.137254902  40.034999
62372.2549019608  40.136742
61382.6470588235  40.238485
62189.7058823529  40.340228
62506.7647058824  40.441971
61795.7843137255  40.543714
62122.4509803922  40.645457
61987.9411764706    40.7472
61699.7058823529  40.848943
62016.7647058823  40.950686
61574.8039215686  41.052429
61843.8235294118  41.154172
           61815  41.255915
62112.8431372549  41.357658
62122.4509803922  41.459401
61795.7843137255  41.561144
62410.6862745098  41.662887
61930.2941176471   41.76463
62218.5294117647  41.866373
62333.8235294118  41.968116
62045.5882352941  42.069859
62593.2352941177  42.171602
62256.9607843137  42.273345
62737.3529411765  42.375088
 61738.137254902  42.476831
61930.2941176471  42.578574
62285.7843137255  42.680317
61882.2549019608   42.78206
62641.2745098039  42.883803
62237.7450980392  42.985546
